Stage 4 Pd-vs-SNR CA-CFAR Monte Carlo
Mode: full
Trials: 200
Echo SNR axis dB: -40, -38, -36, -34, -32, -30, -28, -26, -24, -22, -20, -18, -16, -14, -12, -10, -8, -6, -4, -2, 0
No RIS model: blocked NLOS baseline with zero target echo amplitude
SNR reference: optimized RIS noiseless beat-signal average sample power
full  | SNR  -40.0 dB | 176/200 | noise 1.610e-05 W | hits N/R/O 1/1/1 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 177/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 178/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 179/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 180/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 181/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 182/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 183/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 184/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 185/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 186/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 187/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 188/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 189/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 190/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 191/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 192/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 193/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 194/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 195/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 196/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 197/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 198/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 199/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -40.0 dB | 200/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.003/0.003
full  | SNR  -38.0 dB |   1/200 | noise 1.016e-05 W | hits N/R/O 0/0/0 | avgPd 0.000/0.000/0.000
full  | SNR  -38.0 dB |   2/200 | noise 1.016e-05 W | hits N/R/O 0/0/0 | avgPd 0.000/0.000/0.000
